Order ID,Order Date,ProductID,Quantity Ordered,customer_id
177831,2019-04-01,66,1,17
177687,2019-04-01,46,1,50
186754,2019-04-01,12,1,94
185103,2019-04-01,47,1,80
191585,2019-04-01,38,1,20
189813,2019-04-01,81,1,85
186650,2019-04-01,2,1,55
178407,2019-04-01,17,1,45
184067,2019-04-01,95,1,67
192285,2019-04-01,86,1,23
193992,2019-04-01,75,1,27
181561,2019-04-01,80,1,82
182960,2019-04-01,45,1,4
189270,2019-04-01,4,1,12
189001,2019-04-01,34,1,2
186297,2019-04-01,85,1,48
181552,2019-04-01,66,1,69
186576,2019-04-01,52,1,67
191788,2019-04-01,15,1,37
182666,2019-04-01,19,1,76
193621,2019-04-01,4,1,64
189256,2019-04-01,76,1,75
176831,2019-04-01,53,1,53
189152,2019-04-01,6,1,66
181016,2019-04-01,100,1,71
176603,2019-04-01,27,1,34
180520,2019-04-01,30,1,54
193823,2019-04-01,22,1,82
187999,2019-04-01,88,1,59
183822,2019-04-01,59,1,100
178720,2019-04-01,25,2,36
184775,2019-04-01,78,1,76
177219,2019-04-01,19,1,65
177553,2019-04-01,32,1,78
180221,2019-04-01,80,1,32
184548,2019-04-01,13,1,54
179069,2019-04-01,66,1,4
193851,2019-04-01,83,1,55
180003,2019-04-01,70,1,31
188535,2019-04-01,27,1,36
183517,2019-04-01,11,1,61
186362,2019-04-01,6,1,87
186362,2019-04-01,15,1,35
192696,2019-04-01,7,1,31
180711,2019-04-01,29,1,32
191947,2019-04-01,73,1,61
187228,2019-04-01,69,1,74
177130,2019-04-01,98,1,52
191334,2019-04-01,44,1,60
181218,2019-04-01,89,1,95
177712,2019-04-01,30,1,61
186564,2019-04-01,30,1,26
183983,2019-04-01,33,1,26
183201,2019-04-01,101,1,72
184738,2019-04-01,55,3,91
186090,2019-04-01,51,1,28
181217,2019-04-01,78,1,76
187559,2019-04-01,16,1,69
176743,2019-04-01,52,1,63
177668,2019-04-01,18,1,8
185014,2019-04-01,81,1,55
185539,2019-04-01,46,1,42
181460,2019-04-01,50,1,78
178715,2019-04-01,56,1,79
182961,2019-04-01,85,2,7
188101,2019-04-01,23,1,38
192261,2019-04-01,82,1,3
187534,2019-04-01,67,1,31
187534,2019-04-01,68,1,16
177739,2019-04-01,71,1,86
182763,2019-04-01,45,1,35
189144,2019-04-01,5,1,68
182639,2019-04-01,46,1,52
189504,2019-04-01,57,1,54
179454,2019-04-01,80,1,29
185223,2019-04-01,34,1,8
185279,2019-04-01,96,1,25
187068,2019-04-01,61,1,80
181734,2019-04-01,30,1,19
185601,2019-04-01,65,1,98
185606,2019-04-01,94,1,88
189474,2019-04-01,71,1,15
186785,2019-04-01,45,1,78
189314,2019-04-01,4,1,83
188230,2019-04-01,35,1,54
190973,2019-04-01,12,1,72
178217,2019-04-01,93,5,3
189489,2019-04-01,43,1,52
177868,2019-04-01,42,1,4
188269,2019-04-01,24,1,69
188269,2019-04-01,15,1,7
185041,2019-04-01,31,1,26
188618,2019-04-01,47,1,7
177554,2019-04-01,17,1,20
180356,2019-04-01,96,1,67
190846,2019-04-01,65,1,81
189674,2019-04-01,87,2,72
177316,2019-04-01,33,1,63
193252,2019-04-01,18,1,24
187689,2019-04-01,43,1,13
184054,2019-04-01,34,1,100
184054,2019-04-01,63,1,51
184559,2019-04-01,25,1,98
184275,2019-04-01,27,1,88
183505,2019-04-01,31,1,49
191042,2019-04-01,25,1,25
193619,2019-04-01,37,1,6
188522,2019-04-01,24,1,15
191042,2019-04-01,25,1,48
181183,2019-04-01,90,2,59
183899,2019-04-01,100,1,33
186439,2019-04-01,87,1,7
181718,2019-04-01,75,1,42
189887,2019-04-01,99,2,49
185962,2019-04-01,12,1,91
182408,2019-04-01,63,1,93
180517,2019-04-01,84,1,33
188365,2019-04-01,94,1,1
188515,2019-04-01,3,1,61
177881,2019-04-01,98,1,92
176722,2019-04-01,63,1,37
193989,2019-04-01,19,2,78
191809,2019-04-01,96,1,61
177513,2019-04-01,46,1,41
186696,2019-04-01,84,1,53
186047,2019-04-01,30,2,16
189776,2019-04-01,73,1,33
180818,2019-04-01,42,1,13
179717,2019-04-01,37,1,6
189210,2019-04-01,57,1,55
191691,2019-04-01,92,1,95
177611,2019-04-01,71,1,11
178104,2019-04-01,92,1,52
189793,2019-04-01,19,1,67
186159,2019-04-01,84,1,42
182801,2019-04-01,4,1,56
182520,2019-04-01,37,2,7
181965,2019-04-01,12,2,65
191161,2019-04-01,24,3,52
185581,2019-04-01,28,1,8
178175,2019-04-01,28,1,90
181903,2019-04-01,52,2,4
176981,2019-04-01,21,1,58
192349,2019-04-01,45,1,92
193698,2019-04-01,84,1,71
190434,2019-04-01,88,1,35
193611,2019-04-01,100,1,56
190624,2019-04-01,95,1,9
177176,2019-04-01,42,1,72
193679,2019-04-01,37,1,42
190878,2019-04-01,62,1,56
181423,2019-04-01,36,1,33
181915,2019-04-01,64,1,80
182214,2019-04-01,55,1,36
193641,2019-04-01,89,1,39
187423,2019-04-01,59,1,98
187423,2019-04-01,83,1,58
193201,2019-04-01,90,1,38
176677,2019-04-01,64,1,44
189487,2019-04-01,53,1,33
187787,2019-04-01,54,1,13
182939,2019-04-01,17,1,20
191865,2019-04-01,100,1,86
181761,2019-04-01,46,2,57
180015,2019-04-01,76,1,63
30308,2019-04-01,101,1,61
183225,2019-04-01,10,1,12
181666,2019-04-01,76,1,18
191850,2019-04-01,83,1,88
188166,2019-04-01,54,1,62
179762,2019-04-01,68,1,82
193015,2019-04-01,68,1,29
179337,2019-04-01,101,1,77
191245,2019-04-01,22,1,15
184190,2019-04-01,19,1,96
190874,2019-04-01,74,2,70
181491,2019-04-01,41,1,56
190187,2019-04-01,87,1,33
179582,2019-04-01,12,1,62
181824,2019-04-01,41,1,80
184718,2019-04-01,45,3,54
180171,2019-04-01,9,1,95
183110,2019-04-01,33,1,65
181941,2019-04-01,70,1,80
181941,2019-04-01,95,1,53
193409,2019-04-01,12,1,11
193991,2019-04-01,38,1,42
191385,2019-04-01,78,1,91
190362,2019-04-01,92,1,80
180621,2019-04-01,88,1,99
177937,2019-04-01,1,1,81
184701,2019-04-01,64,2,45
187745,2019-04-01,89,1,90
192957,2019-04-01,23,1,51
185859,2019-04-01,34,1,18
182101,2019-04-01,58,1,37
185530,2019-04-01,67,1,4
189686,2019-04-01,11,1,42
180192,2019-04-01,46,1,69
179192,2019-04-01,64,3,65
176887,2019-04-01,93,1,26
184381,2019-04-01,64,1,26
191618,2019-04-01,49,1,78
189262,2019-04-01,29,1,18
189262,2019-04-01,90,1,51
181515,2019-04-01,40,1,99
181515,2019-04-01,53,1,81
180862,2019-04-01,15,1,54
191146,2019-04-01,80,1,4
188241,2019-04-01,42,3,28
182404,2019-04-01,54,1,40
190939,2019-04-01,84,1,35
177072,2019-04-01,87,1,9
178384,2019-04-01,26,2,84
191020,2019-04-01,10,1,69
181177,2019-04-01,19,1,98
181177,2019-04-01,40,1,5
181177,2019-04-01,55,1,91
181017,2019-04-01,53,1,67
181304,2019-04-01,34,1,15
183748,2019-04-01,58,2,33
182967,2019-04-01,72,1,87
193541,2019-04-01,51,2,11
192070,2019-04-01,70,1,39
182875,2019-04-01,8,1,30
181731,2019-04-01,11,1,38
183521,2019-04-01,88,1,13
182124,2019-04-01,82,1,35
194002,2019-04-01,95,1,97
177235,2019-04-01,14,2,69
189685,2019-04-01,71,1,66
187028,2019-04-01,28,2,36
192161,2019-04-01,90,1,8
183699,2019-04-01,72,1,95
190830,2019-04-01,24,1,79
189979,2019-04-01,48,1,87
177516,2019-04-01,21,1,31
190162,2019-04-01,62,1,56
184560,2019-04-01,11,1,38
178621,2019-04-01,68,1,87
183820,2019-04-01,64,1,56
183384,2019-04-01,88,1,83
187148,2019-04-01,14,2,12
184303,2019-04-01,43,1,75
190157,2019-04-01,30,1,15
179714,2019-04-01,91,1,93
193633,2019-04-01,41,1,95
180843,2019-04-01,60,3,57
192708,2019-04-01,69,1,97
192532,2019-04-01,16,1,77
192575,2019-04-01,94,1,56
184048,2019-04-01,31,1,33
181447,2019-04-01,77,1,82
178642,2019-04-01,42,1,70
180949,2019-04-01,85,1,81
181396,2019-04-01,80,1,68
193227,2019-04-01,45,1,81
189677,2019-04-01,27,1,48
179406,2019-04-01,36,1,40
177681,2019-04-01,21,1,59
177681,2019-04-01,97,1,2
182121,2019-04-01,41,1,32
188539,2019-04-01,56,1,52
188768,2019-04-01,40,1,32
179926,2019-04-01,99,1,57
187297,2019-04-01,60,1,26
188797,2019-04-01,51,1,76
191558,2019-04-01,88,1,9
185157,2019-04-01,13,1,38
178863,2019-04-01,37,1,18
187443,2019-04-01,53,1,17
184027,2019-04-01,99,1,36
185656,2019-04-01,39,1,61
184482,2019-04-01,56,1,13
185353,2019-04-01,83,2,2
179206,2019-04-01,88,1,84
193281,2019-04-01,90,1,98
193366,2019-04-01,59,1,62
183101,2019-04-01,55,1,83
190163,2019-04-01,87,1,93
185253,2019-04-01,97,1,45
178239,2019-04-01,76,1,20
192035,2019-04-01,75,1,31
182256,2019-04-01,13,1,100
179585,2019-04-01,89,1,36
179331,2019-04-01,1,1,69
191936,2019-04-01,66,1,52
187826,2019-04-01,58,1,78
191581,2019-04-01,15,1,61
180023,2019-04-01,61,3,72
192413,2019-04-01,93,1,48
180287,2019-04-01,97,1,23
185468,2019-04-01,94,1,40
188424,2019-04-01,96,3,57
184481,2019-04-01,12,2,74
187186,2019-04-01,4,1,94
190715,2019-04-01,46,1,80
190107,2019-04-01,94,1,41
190118,2019-04-01,88,1,19
184967,2019-04-01,49,1,97
190946,2019-04-01,73,1,61
183864,2019-04-01,67,1,95
193289,2019-04-01,95,1,38
